 Name,Description,Price,Food?,Drink?,Cantidad,New Property,Food Trucks,Created,Updated
Ambientador coche Exótico Bosque Verde incluye difusor y 2 recambios,"Paquete 1 ud. | 23,125 €/100 ml",1.85,,,,"{'url':'e72978f88896178c8f33027ffc345275802db21b98fe10c9965362bcb004c570.jpg','size':19635,'width':600,'height':600,'filename':'4b8b860972a5864861c501c7f69c5fb8.jpg'}",,2022-09-14T15:05:40.718Z,2022-09-14T15:05:40.718Z
Ambientador coche Frutos Silvestres Bosque Verde,"Caja 1 ud. | 30,834 €/100 ml",1.85,,,,"{'url':'e525855837989a1326ec2fac5e17cd3ef4b5847302ad7113f921b0509df9877f.jpg','size':27995,'width':600,'height':600,'filename':'e5f67d789a410ac1df8cc09df0f3e027.jpg'}",,2022-09-14T15:05:14.810Z,2022-09-14T15:05:14.810Z
Ambientador coche Bali Bosque Verde,"Caja 1 ud. | 30,834 €/100 ml",1.85,,,,"{'url':'eed99b485afc4f480a8a975d80c98f1ac8da002082e7b58ac73ef69331dabbc6.jpg','size':28799,'width':600,'height':600,'filename':'3dcf73254c5e8f676db21e442405a4c9.jpg'}",,2022-09-14T15:04:54.136Z,2022-09-14T15:04:54.136Z
Ambientador automático Caramel Bosque Verde recambio,"Bote 250 ml | 7,60 €/L",1.9,,,,"{'url':'e4e4cf0439573d33e7db496a36c605c5207cd897b5d98bca8c4745f752251552.jpg','size':20073,'width':600,'height':600,'filename':'f72ecf47ef882a285c9703c3b2b52205.jpg'}",,2022-09-14T15:04:32.385Z,2022-09-14T15:04:32.385Z
Ambientador automático Infantil Bosque Verde recambio,"Bote 250 ml | 7,60 €/L",1.9,,,,"{'url':'a4835f126db9fe852d5173161938f6d439189c83d1a47054279fa199fae1d2f3.jpg','size':18556,'width':600,'height':600,'filename':'d81717384801cc70218b9c41c5e00736.jpg'}",,2022-09-14T15:04:13.039Z,2022-09-14T15:04:13.039Z
Ambientador automático Flower Bosque Verde recambio,"Bote 250 ml | 7,60 €/L",1.9,,,,"{'url':'105d5a6dedd3368eacaf51db777b9cd0aea8ff0d9c52992a895d8c513f3c9aba.jpg','size':19720,'width':600,'height':600,'filename':'bc676cadf947a40b66bc0941ec767560.jpg'}",,2022-09-14T15:03:52.863Z,2022-09-14T15:03:52.863Z
Ambientador automático Ropa Limpia Bosque Verde recambio,"Bote 250 ml | 7,60 €/L",1.9,,,,"{'url':'dd4dadb7f252eb9620ebe0ec380a29accc19796b419cbeddb166a4d2f9e7bdae.jpg','size':17713,'width':600,'height':600,'filename':'4e56699a932c81eb335cef2334fdc6cf.jpg'}",,2022-09-14T15:03:30.819Z,2022-09-14T15:03:30.819Z
Ambientador automático Love Bosque Verde recambio,"Bote 250 ml | 7,60 €/L",1.9,,,,"{'url':'310d85e3569b72bacf9c4921e0a47ffb8ead2d08e88f6688849b73a7214ab38c.jpg','size':21001,'width':600,'height':600,'filename':'e154dc322566eb6642e2f6c8438a742a.jpg'}",,2022-09-14T15:03:10.324Z,2022-09-14T15:03:10.324Z
Difusor ambientador automático Bosque Verde incluye 2 pilas,"Caja 1 ud. | 3,10 €/ud",3.1,,,,"{'url':'665dcf032e9cd534cda886031f17ab5657c60320ad3f5039a195a0ad835419b3.jpg','size':18042,'width':600,'height':600,'filename':'362b4b24a4cbdbf7aebf979075068470.jpg'}",,2022-09-14T15:02:49.805Z,2022-09-14T15:02:49.805Z
Ambientador eléctrico Delicado Bosque Verde recambio,"Caja 25 ml | 1,70 €/ud",1.7,,,,"{'url':'f365e4e7dee6e398e74087c086a3d509699ed7feea3a86a308c3ef76f25380c5.jpg','size':23037,'width':600,'height':600,'filename':'d8f1959f922c8fb4c2141629b24b6137.jpg'}",,2022-09-14T15:02:14.745Z,2022-09-14T15:02:14.745Z
Ambientador eléctrico Chai Bosque Verde recambio,"Caja 25 ml | 1,70 €/ud",1.7,,,,"{'url':'b0477b75504ed7c01aeecf92def887f160903c11054e32385ef017877095cabb.jpg','size':40781,'width':600,'height':600,'filename':'2240258e0a351bc5b011af3a48078796.jpg'}",,2022-09-14T15:01:50.035Z,2022-09-14T15:01:50.035Z
